hr,codigo_linha,origem,destino,tipo,circular,codigo_cl
21:21,5632-10,LGO. SÃO FRANCISCO,VL. SÃO JOSÉ,,2,32849
21:21,2714-10,VL. RUI BARBOSA,METRÔ VL. MATILDE,,2,33695
21:21,8400-10,PÇA. RAMOS DE AZEVEDO,TERM. PIRITUBA,,2,34033
21:21,4006-10,CIRCULAR,JD. NOVA VITÓRIA,,1,2180
21:21,4056-10,TERM. SÃO MATEUS,PQ. BOA ESPERANÇA,,2,35005
21:21,9653-10,PÇA. DO CORREIO,PEDRA BRANCA,,2,33356
21:21,6358-10,TERM. BANDEIRA,JD. LUSO,,2,34062
21:21,4310-10,TERM. PQ. D. PEDRO II,E.T. ITAQUERA,,1,2160
21:21,675K-10,METRÔ STA. CRUZ,TERM. JD. ÂNGELA,,2,32966
21:21,178A-10,LAPA,METRÔ SANTANA,,2,33326
21:21,8072-10,METRÔ MORUMBI,PQ. IPÊ,,2,34847
21:21,3023-10,PQ. SÃO RAFAEL,SHOP. ARICANDUVA,,2,33728
21:21,573T-10,METRÔ CARRÃO,TERM. SAPOPEMBA,,2,34400
21:21,3459-10,TERM. PQ. D. PEDRO II,ITAIM PAULISTA,,2,33170
21:21,1771-10,METRÔ SANTANA,JD. FONTÁLIS,,2,33402
21:21,3462-10,METRÔ TATUAPÉ,VL. SANTANA,,2,33015
21:21,5018-10,JABAQUARA,SHOP. INTERLAGOS,,1,1492
21:21,675G-10,METRÔ JABAQUARA,PQ. RES. COCAIA,,1,106
21:21,695H-10,TERM. STO. AMARO,JD. HERPLIN,,2,33964
21:21,856R-10,SOCORRO,LAPA,,1,1428
21:21,3301-10,TERM. PQ. D. PEDRO II,TERM. SÃO MIGUEL,,1,1618
21:21,575A-10,SHOP. METRÔ TATUAPÉ,DIV. SÃO CAETANO,,2,34406
21:21,172Y-10,METRÔ BELÉM,VL. CONSTANÇA,,2,33630
21:21,6047-10,STO. AMARO,JD. LÍDIA,,2,33992
21:21,707K-10,METRÔ JABAQUARA,TERM. GUARAPIRANGA,,1,2503
21:21,778J-10,METRÔ BARRA FUNDA,JD. ARPOADOR,,2,33276
21:21,408A-10,CARDOSO DE ALMEIDA,MACHADO DE ASSIS,,2,33534
21:21,874T-10,LAPA,IPIRANGA,,1,307
21:21,8615-10,TERM. PQ. D. PEDRO II,PQ. DA LAPA,,2,34107
21:21,2005-10,SÃO MIGUEL,JD. ROMANO,,2,33661
21:21,407T-10,METRÔ ITAQUERA,JD. REDIL,,1,2202
