hr,l
21:21,"{'c': '5632-10', 'cl': 32849, 'sl': 2, 'lt0': 'LGO. SÃO FRANCISCO', 'lt1': 'VL. SÃO JOSÉ', 'qv': 5, 'vs': [{'p': 61269, 'a': True, 'ta': '2025-06-17T00:21:01Z', 'py': -23.612731000000004, 'px': -46.67087775, 'sv': None, 'is': None}, {'p': 61439, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.6749705, 'px': -46.7124405, 'sv': None, 'is': None}, {'p': 61427, 'a': True, 'ta': '2025-06-17T00:20:21Z', 'py': -23.737796, 'px': -46.7091785, 'sv': None, 'is': None}, {'p': 61283, 'a': True, 'ta': '2025-06-17T00:20:55Z', 'py': -23.645131, 'px': -46.702029874999994, 'sv': None, 'is': None}, {'p': 61434, 'a': True, 'ta': '2025-06-17T00:21:02Z', 'py': -23.740266, 'px': -46.707361000000006, 'sv': None, 'is': None}]}"
21:21,"{'c': '2714-10', 'cl': 33695, 'sl': 2, 'lt0': 'VL. RUI BARBOSA', 'lt1': 'METRÔ VL. MATILDE', 'qv': 6, 'vs': [{'p': 45487, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.531503, 'px': -46.5289355, 'sv': None, 'is': None}, {'p': 45055, 'a': True, 'ta': '2025-06-17T00:20:59Z', 'py': -23.531472, 'px': -46.5291255, 'sv': None, 'is': None}, {'p': 45491, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.5303745, 'px': -46.5279285, 'sv': None, 'is': None}, {'p': 45197, 'a': True, 'ta': '2025-06-17T00:20:42Z', 'py': -23.531588999999997, 'px': -46.528728, 'sv': None, 'is': None}, {'p': 45043, 'a': True, 'ta': '2025-06-17T00:20:44Z', 'py': -23.508399, 'px': -46.521429499999996, 'sv': None, 'is': None}, {'p': 45613, 'a': True, 'ta': '2025-06-17T00:20:38Z', 'py': -23.509354000000002, 'px': -46.530632499999996, 'sv': None, 'is': None}]}"
21:21,"{'c': '8400-10', 'cl': 34033, 'sl': 2, 'lt0': 'PÇA. RAMOS DE AZEVEDO', 'lt1': 'TERM. PIRITUBA', 'qv': 8, 'vs': [{'p': 11736, 'a': True, 'ta': '2025-06-17T00:20:59Z', 'py': -23.5011145, 'px': -46.7063615, 'sv': None, 'is': None}, {'p': 11748, 'a': True, 'ta': '2025-06-17T00:20:47Z', 'py': -23.5241095, 'px': -46.6842925, 'sv': None, 'is': None}, {'p': 11744, 'a': True, 'ta': '2025-06-17T00:20:54Z', 'py': -23.486457, 'px': -46.7270195, 'sv': None, 'is': None}, {'p': 11750, 'a': True, 'ta': '2025-06-17T00:20:40Z', 'py': -23.547456, 'px': -46.6400205, 'sv': None, 'is': None}, {'p': 11737, 'a': True, 'ta': '2025-06-17T00:20:32Z', 'py': -23.53357925, 'px': -46.655734624999994, 'sv': None, 'is': None}, {'p': 11749, 'a': True, 'ta': '2025-06-17T00:21:02Z', 'py': -23.49102025, 'px': -46.70991, 'sv': None, 'is': None}, {'p': 11753, 'a': True, 'ta': '2025-06-17T00:20:41Z', 'py': -23.48619075, 'px': -46.71543375, 'sv': None, 'is': None}, {'p': 11740, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.486277, 'px': -46.726815875, 'sv': None, 'is': None}]}"
21:21,"{'c': '4006-10', 'cl': 2180, 'sl': 1, 'lt0': 'CIRCULAR', 'lt1': 'JD. NOVA VITÓRIA', 'qv': 2, 'vs': [{'p': 48835, 'a': True, 'ta': '2025-06-17T00:20:24Z', 'py': -23.596856, 'px': -46.436479, 'sv': None, 'is': None}, {'p': 48374, 'a': True, 'ta': '2025-06-17T00:20:35Z', 'py': -23.616625, 'px': -46.4313395, 'sv': None, 'is': None}]}"
21:21,"{'c': '4056-10', 'cl': 35005, 'sl': 2, 'lt0': 'TERM. SÃO MATEUS', 'lt1': 'PQ. BOA ESPERANÇA', 'qv': 5, 'vs': [{'p': 47394, 'a': True, 'ta': '2025-06-17T00:20:42Z', 'py': -23.612665, 'px': -46.476373499999994, 'sv': None, 'is': None}, {'p': 47796, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.612665, 'px': -46.476373499999994, 'sv': None, 'is': None}, {'p': 47716, 'a': True, 'ta': '2025-06-17T00:20:21Z', 'py': -23.60276075, 'px': -46.451064375, 'sv': None, 'is': None}, {'p': 47279, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.612665, 'px': -46.476373499999994, 'sv': None, 'is': None}, {'p': 47306, 'a': True, 'ta': '2025-06-17T00:20:37Z', 'py': -23.610212625, 'px': -46.458642749999996, 'sv': None, 'is': None}]}"
21:21,"{'c': '9653-10', 'cl': 33356, 'sl': 2, 'lt0': 'PÇA. DO CORREIO', 'lt1': 'PEDRA BRANCA', 'qv': 6, 'vs': [{'p': 11676, 'a': True, 'ta': '2025-06-17T00:20:37Z', 'py': -23.4580645, 'px': -46.6433105, 'sv': None, 'is': None}, {'p': 11682, 'a': True, 'ta': '2025-06-17T00:20:58Z', 'py': -23.4580645, 'px': -46.6433105, 'sv': None, 'is': None}, {'p': 11675, 'a': True, 'ta': '2025-06-17T00:21:06Z', 'py': -23.4970445, 'px': -46.676165499999996, 'sv': None, 'is': None}, {'p': 11674, 'a': True, 'ta': '2025-06-17T00:20:28Z', 'py': -23.4580645, 'px': -46.6433105, 'sv': None, 'is': None}, {'p': 11677, 'a': True, 'ta': '2025-06-17T00:20:37Z', 'py': -23.524035375000004, 'px': -46.655432999999995, 'sv': None, 'is': None}, {'p': 11684, 'a': True, 'ta': '2025-06-17T00:20:29Z', 'py': -23.4580645, 'px': -46.6433105, 'sv': None, 'is': None}]}"
21:21,"{'c': '6358-10', 'cl': 34062, 'sl': 2, 'lt0': 'TERM. BANDEIRA', 'lt1': 'JD. LUSO', 'qv': 6, 'vs': [{'p': 63067, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.568122375, 'px': -46.660177, 'sv': None, 'is': None}, {'p': 63063, 'a': True, 'ta': '2025-06-17T00:20:53Z', 'py': -23.685291, 'px': -46.6376225, 'sv': None, 'is': None}, {'p': 63119, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.6829465, 'px': -46.63545125, 'sv': None, 'is': None}, {'p': 63007, 'a': True, 'ta': '2025-06-17T00:20:52Z', 'py': -23.602307500000002, 'px': -46.6611085, 'sv': None, 'is': None}, {'p': 63010, 'a': True, 'ta': '2025-06-17T00:20:58Z', 'py': -23.6865375, 'px': -46.6380315, 'sv': None, 'is': None}, {'p': 63558, 'a': True, 'ta': '2025-06-17T00:20:56Z', 'py': -23.65645975, 'px': -46.665696999999994, 'sv': None, 'is': None}]}"
21:21,"{'c': '4310-10', 'cl': 2160, 'sl': 1, 'lt0': 'TERM. PQ. D. PEDRO II', 'lt1': 'E.T. ITAQUERA', 'qv': 13, 'vs': [{'p': 31157, 'a': True, 'ta': '2025-06-17T00:20:45Z', 'py': -23.534413, 'px': -46.4526755, 'sv': None, 'is': None}, {'p': 31188, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.544351, 'px': -46.63002, 'sv': None, 'is': None}, {'p': 31156, 'a': True, 'ta': '2025-06-17T00:20:51Z', 'py': -23.541334499999998, 'px': -46.465672999999995, 'sv': None, 'is': None}, {'p': 31295, 'a': True, 'ta': '2025-06-17T00:21:01Z', 'py': -23.5346725, 'px': -46.453050000000005, 'sv': None, 'is': None}, {'p': 31204, 'a': True, 'ta': '2025-06-17T00:20:22Z', 'py': -23.5352635, 'px': -46.4538, 'sv': None, 'is': None}, {'p': 31147, 'a': True, 'ta': '2025-06-17T00:20:46Z', 'py': -23.53542325, 'px': -46.4950325, 'sv': None, 'is': None}, {'p': 31356, 'a': True, 'ta': '2025-06-17T00:20:53Z', 'py': -23.536997874999997, 'px': -46.558906625, 'sv': None, 'is': None}, {'p': 31174, 'a': True, 'ta': '2025-06-17T00:20:51Z', 'py': -23.534623, 'px': -46.4529845, 'sv': None, 'is': None}, {'p': 31303, 'a': True, 'ta': '2025-06-17T00:20:58Z', 'py': -23.545090000000002, 'px': -46.596999, 'sv': None, 'is': None}, {'p': 31293, 'a': True, 'ta': '2025-06-17T00:19:50Z', 'py': -23.538722999999997, 'px': -46.4570675, 'sv': None, 'is': None}, {'p': 31184, 'a': True, 'ta': '2025-06-17T00:20:46Z', 'py': -23.5346725, 'px': -46.453050000000005, 'sv': None, 'is': None}, {'p': 31192, 'a': True, 'ta': '2025-06-17T00:20:50Z', 'py': -23.535216, 'px': -46.4541105, 'sv': None, 'is': None}, {'p': 31291, 'a': True, 'ta': '2025-06-17T00:21:02Z', 'py': -23.5321085, 'px': -46.5343335, 'sv': None, 'is': None}]}"
21:21,"{'c': '675K-10', 'cl': 32966, 'sl': 2, 'lt0': 'METRÔ STA. CRUZ', 'lt1': 'TERM. JD. ÂNGELA', 'qv': 11, 'vs': [{'p': 73881, 'a': True, 'ta': '2025-06-17T00:20:57Z', 'py': -23.599375000000002, 'px': -46.6376455, 'sv': None, 'is': None}, {'p': 73809, 'a': True, 'ta': '2025-06-17T00:21:00Z', 'py': -23.684307500000003, 'px': -46.770112749999996, 'sv': None, 'is': None}, {'p': 73855, 'a': True, 'ta': '2025-06-17T00:20:56Z', 'py': -23.689751, 'px': -46.773829500000005, 'sv': None, 'is': None}, {'p': 73903, 'a': True, 'ta': '2025-06-17T00:20:30Z', 'py': -23.669746, 'px': -46.73697725, 'sv': None, 'is': None}, {'p': 73902, 'a': True, 'ta': '2025-06-17T00:20:53Z', 'py': -23.59815025, 'px': -46.645907750000006, 'sv': None, 'is': None}, {'p': 73907, 'a': True, 'ta': '2025-06-17T00:19:42Z', 'py': -23.609273375, 'px': -46.667640875, 'sv': None, 'is': None}, {'p': 73303, 'a': True, 'ta': '2025-06-17T00:20:26Z', 'py': -23.689531625, 'px': -46.77363325, 'sv': None, 'is': None}, {'p': 73301, 'a': True, 'ta': '2025-06-17T00:20:27Z', 'py': -23.689947, 'px': -46.7740025, 'sv': None, 'is': None}, {'p': 73917, 'a': True, 'ta': '2025-06-17T00:21:03Z', 'py': -23.638222125000002, 'px': -46.69485025, 'sv': None, 'is': None}, {'p': 73821, 'a': True, 'ta': '2025-06-17T00:20:38Z', 'py': -23.689751, 'px': -46.773829500000005, 'sv': None, 'is': None}, {'p': 73850, 'a': True, 'ta': '2025-06-17T00:21:05Z', 'py': -23.6901525, 'px': -46.774198999999996, 'sv': None, 'is': None}]}"
21:21,"{'c': '178A-10', 'cl': 33326, 'sl': 2, 'lt0': 'LAPA', 'lt1': 'METRÔ SANTANA', 'qv': 4, 'vs': [{'p': 21366, 'a': True, 'ta': '2025-06-17T00:20:49Z', 'py': -23.519456499999997, 'px': -46.70505825, 'sv': None, 'is': None}, {'p': 21273, 'a': True, 'ta': '2025-06-17T00:20:36Z', 'py': -23.50316325, 'px': -46.6230835, 'sv': None, 'is': None}, {'p': 21384, 'a': True, 'ta': '2025-06-17T00:20:25Z', 'py': -23.5258545, 'px': -46.644837624999994, 'sv': None, 'is': None}, {'p': 21274, 'a': True, 'ta': '2025-06-17T00:20:30Z', 'py': -23.518422, 'px': -46.7045445, 'sv': None, 'is': None}]}"
